id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,class
0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,C
1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,A
2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,C
3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,B
4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,B
5,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,B
6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,D
7,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,B
8,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,C
9,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,B
10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,A
11,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,D
12,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,C
13,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,C
14,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,C
15,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,A
16,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,C
17,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,A
18,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,B
19,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,B
20,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,C
21,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,A
22,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,D
23,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,B
24,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,C
25,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,C
26,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,D
27,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,D
28,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,C
29,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,A
30,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,C
31,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,C
32,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,A
33,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,D
34,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,B
35,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,C
36,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,D
37,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,A
38,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,A
39,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,D
40,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,D
41,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,D
42,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,C
43,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,C
44,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,A
45,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,D
46,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,B
47,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,D
48,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,A
